0.0000,0.0000,0.0000,0.0000
1.0000,0.9979,0.3443,0.6557
0.9697,0.9973,0.4576,0.5424
1.0000,0.9948,0.3537,0.6463
1.0000,0.9884,0.5442,0.4558
1.0000,0.9902,0.4901,0.5099
0.0000,0.9902,1.0000,0.0000
0.9348,0.9967,0.4342,0.5658
1.0000,0.9906,0.5053,0.4947
1.0000,0.9962,0.3725,0.6275
1.0000,0.9932,0.4964,0.5036
0.9926,0.9859,0.5162,0.4838
1.0000,0.9891,0.8209,0.1791
0.9913,0.9961,0.2549,0.7451
1.0000,0.9985,0.2727,0.7273
0.9701,0.9958,0.3925,0.6075
0.9857,0.9977,0.2500,0.7500
0.9412,0.9988,0.2727,0.7273
0.9881,0.9918,0.5000,0.5000
0.9714,0.9992,0.1905,0.8095
0.9231,0.9987,0.2653,0.7347
1.0000,0.9970,0.4110,0.5890
1.0000,0.9971,0.4085,0.5915
1.0000,0.9915,0.4943,0.5057
1.0000,0.9900,0.6645,0.3355
1.0000,0.9978,0.6667,0.3333
0.9925,0.9912,0.4027,0.5973
0.8889,0.9966,0.8095,0.1905
0.3333,0.9640,0.9920,0.0080
0.9091,0.9960,0.6667,0.3333
1.0000,0.9884,0.3343,0.6657
1.0000,0.9959,0.3306,0.6694
1.0000,0.9922,0.8404,0.1596
1.0000,0.9959,0.3661,0.6339
1.0000,0.9929,0.4965,0.5035
1.0000,0.9900,0.4449,0.5551
1.0000,0.9839,0.6082,0.3918
1.0000,0.9842,0.5882,0.4118
0.9125,0.9961,0.3482,0.6518
1.0000,0.9972,0.4242,0.5758
1.0000,0.9958,0.4615,0.5385
1.0000,0.9980,0.3571,0.6429
0.8345,0.9984,0.1168,0.8832
1.0000,0.9967,0.4231,0.5769
1.0000,0.9951,0.3657,0.6343
1.0000,0.9988,0.5217,0.4783
0.3636,0.9963,0.6981,0.3019
1.0000,0.9972,0.3784,0.6216
0.9565,0.9957,0.4943,0.5057
0.6566,0.9998,0.0299,0.9701
